,Rank,Title,World Wide Collection
0,1,Avatar,"$2,923,706,026"
1,2,Avengers: Endgame,"$2,797,501,328"
2,3,Avatar: The Way of Water,"$2,320,250,281"
3,4,Titanic,"T$2,257,844,554"
4,5,Star Wars: The Force Awakens,"$2,068,223,624"
5,6,Avengers: Infinity War,"$2,048,359,754"
6,7,Spider-Man: No Way Home,"$1,921,847,111"
7,8,Jurassic World,"$1,671,537,444"
8,9,The Lion King,"$1,656,943,394"
9,10,The Avengers,"$1,518,815,515"
10,11,Furious 7,"$1,515,341,399"
11,12,Top Gun: Maverick,"$1,495,696,292"
12,13,Frozen II,"$1,450,026,933"
13,14,Barbie †,"$1,439,862,639"
14,15,Avengers: Age of Ultron,"$1,402,809,540"
15,16,The Super Mario Bros. Movie †,"$1,362,738,119"
16,17,Black Panther,"$1,347,280,838"
17,18,Harry Potter and the Deathly Hallows – Part 2,"$1,342,139,727"
18,19,Star Wars: The Last Jedi,"$1,332,539,889"
19,20,Jurassic World: Fallen Kingdom,"$1,308,473,425"
20,21,Frozen,"F$1,290,000,000"
21,22,Beauty and the Beast,"$1,263,521,126"
22,23,Incredibles 2,"$1,242,805,359"
23,24,The Fate of the Furious,"F8$1,238,764,765"
24,25,Iron Man 3,"$1,214,811,252"
25,26,Minions,"$1,159,444,662"
26,27,Captain America: Civil War,"$1,153,337,496"
27,28,Aquaman,"$1,148,528,393"
28,29,The Lord of the Rings: The Return of the King,"$1,147,997,407"
29,30,Spider-Man: Far From Home,"$1,131,927,996"
30,31,Captain Marvel,"$1,128,274,794"
31,32,Transformers: Dark of the Moon,"$1,123,794,079"
32,33,Skyfall,"$1,108,569,499"
33,34,Transformers: Age of Extinction,"$1,104,054,072"
34,35,The Dark Knight Rises,"$1,081,169,825"
35,36,Joker,"$1,074,458,282"
36,37,Star Wars: The Rise of Skywalker,"$1,074,144,248"
37,38,Toy Story 4,"$1,073,394,593"
38,39,Toy Story 3,"$1,066,970,811"
39,40,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747"
40,41,Rogue One: A Star Wars Story,"$1,057,420,387"
41,42,Aladdin,"$1,050,693,953"
42,43,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802"
43,44,Jurassic Park,"$1,037,535,230"
44,45,Despicable Me 3,"$1,034,800,131"
45,46,Finding Dory,"$1,028,570,942"
46,47,Star Wars: Episode I – The Phantom Menace,"$1,027,082,707"
47,48,Alice in Wonderland,"$1,025,468,216"
48,49,Zootopia,"$1,023,784,195"
49,50,The Hobbit: An Unexpected Journey,"$1,017,030,651"
